R17-0016-1,52.0,52.0,0.0,53.0,220.0,11.0
R17-0036-4,22.0,48.0,0.0,64.0,248.0,3.0
R17-0036-5,31.0,65.0,0.0,68.0,213.0,8.0
R17-0056-9,48.0,49.0,0.0,52.0,206.0,27.0
R17-0060-5,28.0,46.0,0.0,56.0,232.0,120.0
R17-0063-2,65.0,44.0,0.0,54.0,210.0,22.0
R17-0063-3,39.0,55.0,0.0,71.0,215.0,15.0
R17-0085-2,21.0,46.0,0.0,62.0,253.0,3.0
R17-0085-7,21.0,46.0,0.0,54.0,220.0,44.0
R17-0090-1,26.0,11.0,0.0,36.0,265.0,44.0
R17-0090-3,31.0,44.0,0.0,63.0,241.0,3.0
R17-0126-10,31.0,41.0,0.0,51.0,217.0,40.0
R17-0132-5,40.0,46.0,0.0,56.0,170.0,70.0
R17-0133-2,28.0,36.0,0.0,40.0,220.0,55.0
R17-0133-4,34.0,35.0,0.0,44.0,225.0,41.0
R17-0134-10,29.0,44.0,0.0,45.0,222.0,44.0
R17-0134-11,35.0,46.0,0.0,54.0,220.0,35.0
R17-0135-4,29.0,38.0,0.0,46.0,203.0,68.0
R17-0141-13,27.0,42.0,0.0,54.0,216.0,38.0
R17-0153-5,23.0,49.0,0.0,58.0,184.0,61.0
R17-0180-4,40.0,48.0,0.0,50.0,237.0,11.0
R17-0207-8,25.0,42.0,0.0,43.0,204.0,66.0
R17-0210-4,49.0,43.0,0.0,49.0,213.0,38.0
R17-0226-2,26.0,45.0,0.0,50.0,256.0,9.0
R17-0238-1,17.0,50.0,0.0,66.0,206.0,43.0
R17-0261-3,13.0,42.0,0.0,49.0,176.0,38.0
R17-0264-8,21.0,41.0,0.0,46.0,249.0,28.0
R17-0285-2,17.0,43.0,0.0,61.0,255.0,8.0
R17-0285-7,36.0,42.0,0.0,49.0,197.0,60.0
R17-0300-1,30.0,49.0,0.0,58.0,242.0,7.0
R17-0307-4,54.0,49.0,0.0,61.0,225.0,2.0
R17-0312-3,18.0,45.0,0.0,48.0,269.0,1.0
R17-0365-2,29.0,46.0,0.0,56.0,217.0,48.0
R17-0372-9,31.0,44.0,0.0,59.0,212.0,37.0
R17-0376-5,34.0,47.0,0.0,59.0,208.0,34.0
R17-0409-4,32.0,43.0,0.0,163.0,132.0,18.0
R17-0413-2,26.0,49.0,0.0,52.0,226.0,34.0
R17-0425-3,28.0,47.0,0.0,58.0,180.0,68.0
R17-0427-6,43.0,44.0,0.0,45.0,212.0,38.0
R17-0434-1,25.0,43.0,0.0,54.0,241.0,20.0
R17-0436-1,45.0,45.0,0.0,54.0,208.0,30.0
R17-0439-1,33.0,51.0,0.0,64.0,243.0,3.0
R17-0439-8,31.0,9.0,0.0,41.0,297.0,16.0
R17-0476-5,33.0,43.0,0.0,65.0,230.0,14.0
R17-0477-11,41.0,46.0,0.0,61.0,190.0,47.0
R17-0477-6,47.0,49.0,0.0,58.0,215.0,16.0
R17-0502-10,40.0,46.0,0.0,53.0,229.0,30.0
R17-0502-9,34.0,47.0,0.0,54.0,247.0,16.0
R17-0511-1,45.0,45.0,0.0,58.0,184.0,52.0
R17-0511-6,27.0,46.0,0.0,56.0,194.0,61.0
R18-0463-3,51.0,44.0,0.0,73.0,209.0,14.0
R18-0463-4,36.0,40.0,0.0,49.0,228.0,38.0
