R17-0378-14,36.0,5.0,0.0,62.0,243.0,34.0
R17-0416-8,33.0,43.0,0.0,68.0,209.0,32.0
R17-0429-10,31.0,46.0,0.0,61.0,242.0,11.0
R17-0429-6,29.0,47.0,0.0,58.0,246.0,11.0
R17-0445-2,27.0,51.0,0.0,47.0,229.0,30.0
R17-0445-4,25.0,43.0,0.0,42.0,229.0,45.0
R17-0467-3,29.0,41.0,0.0,51.0,232.0,40.0
R17-0467-4,30.0,37.0,0.0,49.0,214.0,63.0
R17-0472-6,55.0,42.0,0.0,54.0,231.0,4.0
R17-0474-5,49.0,43.0,0.0,50.0,238.0,6.0
R17-0497-1,26.0,43.0,0.0,43.0,260.0,11.0
R17-0499-5,35.0,45.0,0.0,53.0,226.0,25.0
R17-0510-5,19.0,44.0,0.0,47.0,219.0,54.0
R17-0510-7,20.0,43.0,0.0,43.0,234.0,43.0
R17-0519-3,40.0,39.0,0.0,43.0,254.0,13.0
R17-0548-1,50.0,2.0,0.0,121.0,205.0,11.0
R18-0444-5,35.0,52.0,0.0,50.0,201.0,50.0
R18-0480-5,36.0,47.0,0.0,55.0,216.0,32.0
R18-0530-1,25.0,45.0,0.0,51.0,172.0,95.0
R18-0530-8,25.0,48.0,0.0,54.0,240.0,21.0
R18-0532-4,32.0,43.0,0.0,53.0,244.0,23.0
R18-0554-2,17.0,44.0,0.0,39.0,289.0,2.0
R18-0554-3,29.0,48.0,0.0,41.0,260.0,13.0
R18-0621-9,35.0,46.0,0.0,51.0,207.0,44.0
R19-0373-5,36.0,49.0,0.0,52.0,212.0,47.0
R19-0455-5,22.0,42.0,0.0,47.0,213.0,154.0
R19-0573-2,32.0,44.0,0.0,60.0,197.0,53.0
